abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
BRIGHAM-YOUNG,independent,,,,23.0,18.8,2.2,1.8,0.5,0.8,13,0.9,1.6,4,BYU,31.5,33.0,59.8,63.2,18.8,20.8,10.0,11.0,1.2,1.3,197.9,252.2,6.4,6.3,73.3,66.1,19.5,29.5,41.8,33.1,10.8,6.0,2.2,1.1,201.2,114.4,4.8,3.5,6.5,-1.19,1.4,2.4,0.692,9,399.2,366.5,60.2,57.5,5.4,5.5,2016,
ARMY,independent,,,,21.8,14.5,1.1,0.8,1.1,0.4,13,0.8,1.3,5,Army,9.5,26.0,43.9,56.5,4.2,14.7,2.9,7.0,0.5,1.1,74.4,170.2,4.8,6.2,70.0,57.2,19.8,29.9,60.5,31.2,17.8,6.7,3.5,1.3,339.6,121.2,5.6,3.9,-2.41,-6.41,1.9,1.7,0.615,8,414.0,291.5,42.2,49.5,5.9,5.1,2016,
NOTRE-DAME,independent,0,,0,21.2,20.3,1.3,1.8,0.8,0.5,12,0.8,0.7,8,Notre Dame,32.3,26.1,57.7,61.7,18.7,16.1,11.0,8.5,2.3,1.2,254.3,196.4,6.5,5.7,68.8,70.2,27.8,30.9,36.5,44.1,8.9,10.0,1.5,1.9,163.3,182.4,4.5,4.1,4.27,3.94,1.5,1.2,0.333,4,417.6,378.8,53.2,50.5,6.1,5.4,2016,
OHIO,mac,2,0.75,6,20.9,19.1,2.4,1.3,0.9,0.8,14,0.9,1.1,6,Ohio,32.7,34.9,54.6,63.0,17.9,22.0,9.4,10.9,1.6,1.8,224.4,255.8,5.6,6.5,71.6,70.3,22.6,26.3,38.9,35.4,9.1,6.9,1.2,0.9,168.0,104.4,4.3,3.0,-1.99,-5.56,1.8,1.9,0.571,8,392.4,360.2,55.1,63.4,5.5,5.1,2016,
MIAMI-OH,mac,2,0.75,6,19.5,20.1,1.6,2.2,1.0,0.5,13,0.5,1.1,7,Miami (OH),27.5,31.4,59.2,58.3,16.3,18.3,9.9,9.1,2.1,1.2,230.6,208.8,6.8,4.7,64.5,67.3,23.8,22.8,37.0,35.9,8.0,8.8,0.7,1.6,136.8,144.5,3.7,4.0,-6.79,-5.87,1.5,1.6,0.462,6,367.4,353.4,55.8,49.5,5.7,5.3,2016,
AKRON,mac,5,0.375,3,19.5,24.5,2.1,1.7,0.7,0.5,12,1.2,0.7,7,Akron,33.0,32.5,54.8,61.3,18.1,19.9,10.5,11.6,2.1,1.8,255.3,241.3,7.6,6.7,64.7,76.9,33.6,27.4,31.7,44.4,6.9,11.3,1.1,2.3,132.2,224.8,4.2,5.1,-6.52,-3.93,1.8,1.2,0.417,5,387.4,466.2,67.3,66.7,6.0,6.1,2016,
BOWLING-GREEN-STATE,mac,5,0.375,3,23.3,22.7,2.3,2.0,0.7,0.7,12,2.1,0.8,8,Bowling Green,37.4,31.7,54.1,63.9,20.3,20.3,11.5,11.0,1.6,2.7,226.1,273.3,5.8,7.5,79.3,73.4,38.3,24.8,41.8,41.8,9.7,9.9,1.5,2.3,181.0,191.4,4.3,4.6,-10.58,-4.08,2.8,1.4,0.333,4,407.1,464.8,58.0,71.6,5.1,6.3,2016,
KENT-STATE,mac,6,0.25,2,14.8,21.7,1.0,1.8,0.4,1.0,12,0.7,1.0,9,Kent State,24.3,29.4,50.3,51.8,12.3,15.3,6.1,8.8,0.9,1.3,141.7,196.8,5.3,4.8,63.8,74.2,28.7,20.6,39.4,44.8,7.8,11.2,1.3,2.0,167.5,189.8,4.2,4.2,-9.12,-3.2,1.1,2.0,0.25,3,309.2,386.5,44.9,45.8,4.8,5.2,2016,
BUFFALO,mac,7,0.125,1,18.3,21.6,1.0,1.3,0.7,0.7,12,0.9,0.4,10,Buffalo,33.1,23.7,53.4,57.4,17.7,13.6,9.3,8.0,0.9,1.3,200.5,181.5,5.3,4.5,68.6,73.4,32.3,16.5,35.5,49.8,8.0,12.3,1.0,2.4,153.3,253.3,4.3,5.1,-18.24,-5.57,1.6,1.1,0.167,2,353.8,434.8,43.1,38.8,5.2,5.9,2016,
WESTERN-MICHIGAN,mac,0,1.0,8,25.2,17.9,1.2,1.1,0.3,0.8,14,0.3,1.1,1,Western Michigan,27.0,28.2,69.6,56.5,18.8,15.9,10.6,8.9,2.4,1.2,252.4,200.1,4.9,5.9,72.3,60.7,19.8,41.6,45.3,32.5,13.4,7.9,2.6,1.2,228.9,153.6,5.1,4.7,12.03,-4.61,0.6,1.9,0.929,13,481.2,353.6,46.2,48.8,6.7,5.8,2016,15.0
TOLEDO,mac,2,0.75,6,24.2,19.7,1.9,1.5,0.4,0.3,13,0.7,0.5,4,Toledo,32.5,31.8,68.8,54.8,22.4,17.5,12.9,9.7,3.5,1.8,322.8,220.8,7.0,6.5,71.9,68.2,25.7,38.0,39.4,36.3,9.4,8.5,1.3,1.2,195.0,176.3,5.0,4.9,4.94,-3.75,1.1,0.8,0.692,9,517.8,397.1,61.2,69.3,7.2,5.8,2016,
NORTHERN-ILLINOIS,mac,3,0.625,5,23.5,24.4,2.1,2.6,0.3,0.2,12,1.1,1.2,7,Northern Illinois,33.3,34.7,58.0,56.7,19.3,19.7,10.1,11.9,1.7,2.1,224.0,250.7,7.0,6.9,79.1,78.0,30.3,30.5,45.8,43.3,11.6,10.1,2.3,2.0,239.8,200.8,5.2,4.6,-4.39,-3.64,1.4,1.3,0.417,5,463.8,451.5,70.0,69.3,5.9,5.8,2016,
EASTERN-MICHIGAN,mac,4,0.5,4,23.3,23.9,1.6,2.2,0.5,1.0,13,1.3,0.8,6,Eastern Michigan,39.9,35.5,59.5,60.5,23.8,21.5,12.8,12.2,1.9,1.9,296.1,265.2,5.8,5.6,76.8,74.1,29.8,29.6,36.9,38.6,8.8,9.5,1.6,1.8,159.1,167.5,4.3,4.3,-4.3,-4.07,1.8,1.8,0.538,7,455.2,432.7,57.0,54.2,5.9,5.8,2016,
CENTRAL-MICHIGAN,mac,5,0.375,3,19.8,19.9,1.5,1.3,0.6,0.4,13,1.2,1.0,7,Central Michigan,36.2,31.8,59.4,59.9,21.5,19.1,11.8,10.3,1.8,2.5,276.1,222.9,4.8,4.5,67.5,68.3,30.3,26.3,31.3,36.5,6.6,8.3,1.4,1.2,115.9,169.0,3.7,4.6,-5.6,-2.91,1.8,1.4,0.462,6,392.0,391.9,49.9,45.1,5.8,5.7,2016,
BALL-STATE,mac,7,0.125,1,24.5,22.8,1.2,1.3,0.8,0.6,12,1.3,0.6,8,Ball State,36.3,40.0,60.3,62.7,21.9,25.1,11.6,13.8,1.2,2.3,229.2,319.7,4.0,5.8,79.6,73.8,30.1,27.0,43.3,33.8,11.8,7.8,2.1,1.3,220.0,150.6,5.1,4.5,-9.11,-5.86,2.0,1.2,0.333,4,449.2,470.3,35.5,49.7,5.6,6.4,2016,
BOISE-STATE,mwc,2,0.75,6,23.1,21.4,1.4,1.1,0.8,0.2,13,0.6,0.5,3,Boise State,31.2,33.8,62.3,60.9,19.5,20.6,12.8,9.2,2.2,1.5,298.3,213.0,4.3,7.6,69.2,74.7,23.3,33.8,37.9,40.8,8.8,11.1,2.2,0.9,174.5,176.2,4.6,4.3,8.01,-0.91,1.4,0.7,0.769,10,472.8,389.2,37.8,61.6,6.8,5.2,2016,
NEW-MEXICO,mwc,2,0.75,6,20.8,19.5,0.8,2.0,0.6,0.4,13,0.5,0.6,4,New Mexico,13.8,26.5,53.6,58.3,7.4,15.5,4.6,9.3,0.8,1.8,106.8,222.3,6.3,4.7,66.7,62.8,31.5,36.7,52.9,36.2,15.4,8.2,3.6,2.2,350.0,172.5,6.6,4.8,-1.21,-5.44,1.1,1.0,0.692,9,456.8,394.8,56.7,41.8,6.9,6.3,2016,
WYOMING,mwc,2,0.75,6,22.2,20.6,1.7,1.3,0.6,0.9,14,1.1,1.1,6,Wyoming,27.0,30.3,55.6,56.8,15.0,17.2,10.1,10.8,2.1,1.6,229.1,249.5,4.7,6.0,71.6,68.6,34.1,35.9,44.6,38.4,10.4,8.6,2.2,2.4,207.0,203.6,4.6,5.3,1.37,-0.99,1.7,1.9,0.571,8,436.1,453.1,43.9,55.0,6.1,6.6,2016,
AIR-FORCE,mwc,3,0.625,5,23.2,17.5,1.2,1.8,0.7,0.6,13,0.6,1.2,3,Air Force,11.5,29.5,45.3,52.5,5.2,15.5,4.3,9.8,1.1,1.8,134.8,251.8,5.2,5.4,74.8,63.0,26.2,35.2,63.2,33.5,17.7,5.9,3.0,1.5,318.2,114.2,5.0,3.4,4.09,-4.53,1.3,1.8,0.769,10,452.9,366.0,51.2,40.8,6.1,5.8,2016,
COLORADO-STATE,mwc,3,0.625,5,22.5,20.7,1.4,1.3,0.6,0.5,13,0.5,0.6,6,Colorado State,27.7,24.3,60.3,58.9,16.7,14.3,10.0,9.3,2.2,1.4,244.5,205.6,6.0,6.1,69.2,68.6,30.4,35.3,41.5,44.3,11.1,10.1,2.3,2.5,218.0,214.1,5.2,4.8,2.52,-1.17,1.2,1.1,0.538,7,462.5,419.7,53.8,48.4,6.7,6.1,2016,
UTAH-STATE,mwc,7,0.125,1,18.9,21.4,2.5,2.2,0.5,0.3,12,0.8,0.6,9,Utah State,31.9,26.1,57.7,57.8,18.4,15.1,8.8,7.3,0.8,1.7,206.2,176.5,7.2,7.1,66.0,72.6,29.3,23.9,34.1,46.5,7.7,12.0,2.1,1.6,170.8,203.3,5.0,4.4,-5.99,0.1,1.3,0.8,0.25,3,377.0,379.8,59.1,64.4,5.7,5.2,2016,
SAN-DIEGO-STATE,mwc,2,0.75,6,19.9,16.9,1.4,1.4,0.6,0.2,14,0.4,1.9,3,San Diego State,18.3,31.8,60.5,53.9,11.1,17.1,6.7,9.0,1.4,1.6,144.5,209.7,7.0,5.2,63.6,66.1,20.2,35.2,45.4,34.3,11.8,6.6,2.4,0.7,262.9,105.7,5.8,3.1,5.97,-5.17,1.1,2.1,0.786,11,407.4,315.4,60.2,48.1,6.4,4.8,2016,25.0
HAWAII,mwc,4,0.5,4,18.8,23.9,1.4,1.9,0.7,0.4,14,1.1,0.8,7,Hawaii,31.3,28.1,58.7,62.6,18.4,17.6,9.8,8.9,1.8,2.1,227.5,227.4,8.3,6.9,65.4,72.4,37.3,28.3,34.1,44.4,7.6,13.1,1.8,2.2,163.8,234.2,4.8,5.3,-6.44,-3.44,1.8,1.2,0.5,7,391.3,461.6,71.6,65.4,6.0,6.4,2016,
NEVADA,mwc,5,0.375,3,21.8,22.1,1.6,0.7,0.2,0.8,12,0.8,0.4,7,Nevada,29.5,19.9,59.3,59.4,17.5,11.8,9.2,7.3,1.4,1.0,208.2,158.4,4.3,6.1,69.0,68.6,29.0,25.4,39.5,48.7,11.1,14.1,1.7,2.7,174.0,297.8,4.4,6.1,-9.7,-6.87,0.9,1.3,0.417,5,382.2,456.2,40.2,55.6,5.5,6.7,2016,
NEVADA-LAS-VEGAS,mwc,5,0.375,3,19.7,22.3,0.9,1.8,0.3,0.8,12,0.8,0.4,8,Nevada-Las Vegas,24.5,32.9,46.9,53.2,11.5,17.5,7.1,10.7,1.3,1.9,162.9,243.2,5.6,4.3,67.9,73.3,36.8,31.6,43.4,40.3,11.7,9.8,2.3,2.5,241.5,186.9,5.6,4.6,-10.05,-3.8,1.1,1.3,0.333,4,404.4,430.1,51.2,38.1,6.0,5.9,2016,
SAN-JOSE-STATE,mwc,5,0.375,3,21.0,21.1,1.7,1.3,0.4,0.8,12,1.3,0.8,8,San Jose State,30.8,22.2,57.8,60.2,17.8,13.3,10.3,7.4,1.5,1.5,222.1,188.6,4.3,5.5,70.7,67.2,34.7,24.4,39.8,45.0,9.1,12.3,1.3,2.8,155.1,246.7,3.9,5.5,-10.03,-2.61,1.7,1.6,0.333,4,377.2,435.3,36.6,52.3,5.3,6.5,2016,
FRESNO-STATE,mwc,8,0.0,0,17.2,21.8,1.8,1.2,0.4,0.3,12,1.1,0.4,11,Fresno State,33.8,22.5,51.9,58.9,17.5,13.3,8.5,6.7,1.1,1.8,213.1,167.4,6.3,5.8,70.4,72.6,30.9,17.7,36.7,50.1,6.9,13.9,0.9,2.1,116.2,248.7,3.2,5.0,-14.26,-2.42,1.5,0.8,0.083,1,329.3,416.1,55.8,52.0,4.7,5.7,2016,
WASHINGTON,pac-12,1,0.889,8,22.6,17.6,1.4,2.1,0.4,1.0,14,0.6,1.4,2,Washington,29.1,32.1,62.3,57.2,18.1,18.4,11.0,8.5,3.4,0.9,258.8,182.9,5.2,6.1,66.9,68.8,17.7,41.8,37.8,36.7,10.1,7.0,1.7,1.1,198.1,133.9,5.2,3.6,19.98,3.98,1.1,2.4,0.857,12,456.9,316.9,44.9,50.3,6.8,4.6,2016,4.0
WASHINGTON-STATE,pac-12,2,0.778,7,26.2,20.3,2.4,1.8,0.4,0.8,13,0.9,0.9,5,Washington State,51.1,34.2,70.3,62.5,35.9,21.4,17.3,11.6,3.1,1.5,362.5,271.7,7.9,7.5,78.8,67.1,26.4,38.2,27.7,32.8,6.5,6.8,1.8,1.6,121.2,134.5,4.4,4.1,9.03,3.18,1.3,1.8,0.615,8,483.7,406.2,68.9,72.9,6.1,6.1,2016,
STANFORD,pac-12,3,0.667,6,18.1,19.5,1.2,1.5,0.7,0.5,13,0.7,1.1,3,Stanford,23.5,33.6,58.7,54.7,13.8,18.4,7.5,9.9,1.2,1.4,158.2,223.6,6.5,6.7,63.6,68.4,20.4,26.3,40.2,34.8,9.4,8.2,1.5,1.2,208.9,145.8,5.2,4.2,12.54,5.23,1.4,1.5,0.769,10,367.1,369.4,54.4,58.2,5.8,5.4,2016,12.0
CALIFORNIA,pac-12,6,0.333,3,27.9,26.7,2.9,2.4,0.3,0.6,12,1.0,0.9,7,California,51.8,32.9,61.7,59.7,31.9,19.7,16.4,11.1,3.1,2.5,358.8,245.4,7.4,8.9,86.3,77.3,42.6,37.1,34.5,44.3,8.6,13.2,1.3,2.7,154.3,272.9,4.5,6.2,2.42,5.92,1.3,1.5,0.417,5,513.2,518.3,75.8,76.8,5.9,6.7,2016,
OREGON-STATE,pac-12,6,0.333,3,18.2,23.1,1.6,2.2,0.7,1.1,12,0.9,0.6,8,Oregon State,29.4,33.5,54.7,56.2,16.1,18.8,7.5,9.8,1.1,1.3,173.8,211.2,8.0,5.8,66.1,74.5,30.5,26.2,36.7,41.0,9.1,11.1,2.0,2.1,192.2,218.0,5.2,5.3,1.53,5.11,1.6,1.7,0.333,4,366.0,429.2,71.8,54.3,5.5,5.8,2016,
OREGON,pac-12,7,0.222,2,23.3,28.1,2.0,2.0,0.8,0.3,12,0.5,0.8,8,Oregon,33.3,37.4,64.4,64.8,21.4,24.3,11.2,13.0,2.3,2.4,265.3,271.9,8.3,8.1,74.3,80.8,41.4,35.4,41.1,43.3,10.2,13.1,2.4,3.2,226.4,247.0,5.5,5.7,0.7,5.12,1.3,1.0,0.333,4,491.7,518.9,75.8,73.2,6.6,6.4,2016,
COLORADO,pac-12,1,0.889,8,23.4,17.6,2.1,1.4,0.6,0.8,14,0.8,1.1,4,Colorado,33.5,33.6,61.6,49.7,20.6,16.7,10.6,9.1,1.5,1.3,254.5,193.1,5.4,5.8,78.5,70.0,21.7,31.1,45.0,36.4,10.6,7.1,2.1,1.0,183.9,149.7,4.1,4.1,12.18,5.54,1.4,1.9,0.714,10,438.4,342.9,47.2,51.7,5.6,4.9,2016,17.0
SOUTHERN-CALIFORNIA,pac-12,2,0.778,7,24.8,19.1,1.8,2.0,0.7,0.5,13,0.8,1.1,3,USC,35.6,33.8,65.7,56.9,23.4,19.2,12.6,10.0,2.5,1.8,276.4,227.5,7.6,4.8,74.2,68.2,24.2,34.4,38.6,34.5,10.4,7.1,1.4,1.2,201.1,139.6,5.2,4.1,17.27,7.04,1.5,1.5,0.769,10,477.5,367.2,67.2,45.2,6.4,5.4,2016,3.0
UTAH,pac-12,4,0.556,5,21.9,19.5,1.8,1.5,1.3,0.9,13,0.6,1.4,4,Utah,30.7,35.8,53.1,54.5,16.3,19.5,9.1,11.2,1.2,1.8,216.7,254.3,6.9,5.4,74.5,68.8,23.9,29.8,43.8,32.9,11.1,6.8,1.9,1.0,214.0,128.7,4.9,3.9,8.65,2.19,1.9,2.3,0.692,9,430.7,383.0,60.4,44.5,5.8,5.6,2016,23.0
ARIZONA-STATE,pac-12,7,0.222,2,20.3,23.2,1.8,1.8,0.6,0.7,12,1.2,0.8,7,Arizona State,35.4,40.4,60.5,63.9,21.4,25.8,11.2,13.6,1.3,2.8,259.3,357.4,5.5,6.8,74.9,73.5,39.8,33.3,39.5,33.1,7.3,7.8,2.3,2.1,131.8,164.3,3.3,5.0,-2.6,3.9,1.8,1.4,0.417,5,391.1,521.7,52.0,60.3,5.2,7.1,2016,
UCLA,pac-12,7,0.222,2,19.8,22.3,2.2,2.8,0.8,0.7,12,1.3,1.3,8,UCLA,41.2,36.8,55.3,55.6,22.8,20.4,12.7,10.8,1.8,1.0,295.6,210.5,6.6,6.8,69.9,78.7,27.5,24.9,28.8,41.9,4.9,8.8,1.1,1.8,84.3,171.5,2.9,4.1,2.63,5.13,2.1,1.9,0.333,4,379.8,382.0,59.7,63.8,5.4,4.9,2016,
ARIZONA,pac-12,8,0.111,1,20.5,25.2,2.7,2.6,0.8,0.5,12,1.0,0.7,9,Arizona,25.5,35.6,51.3,65.8,13.1,23.4,7.1,11.8,1.1,2.8,178.1,275.2,6.3,8.5,67.9,76.9,38.3,24.8,42.4,41.3,10.8,10.8,2.2,2.3,235.0,194.2,5.5,4.7,-4.63,5.2,1.8,1.2,0.25,3,413.1,469.3,64.0,73.1,6.1,6.1,2016,
FLORIDA,sec,2,0.75,6,18.1,15.8,1.2,2.1,0.5,0.6,13,1.2,1.2,4,Florida,31.5,25.2,58.8,45.1,18.5,11.4,9.6,6.4,1.4,0.6,215.8,148.5,6.8,4.3,66.3,62.8,16.8,23.9,34.8,37.5,7.3,7.4,0.8,1.2,128.2,144.5,3.7,3.8,10.98,4.75,1.7,1.8,0.692,9,344.0,293.0,58.3,35.8,5.2,4.7,2016,14.0
TENNESSEE,sec,4,0.5,4,21.5,22.5,1.4,1.7,1.1,1.0,13,0.9,0.8,4,Tennessee,29.2,33.2,62.8,55.1,18.3,18.3,10.5,10.3,2.2,1.4,238.5,230.7,6.2,6.4,68.9,76.9,28.8,36.4,39.8,43.7,9.7,10.5,2.4,2.2,205.2,218.5,5.2,5.0,10.59,4.44,2.0,1.8,0.692,9,443.7,449.2,56.5,51.7,6.4,5.8,2016,22.0
GEORGIA,sec,4,0.5,4,20.1,16.0,1.4,0.8,0.8,0.9,13,0.7,1.2,5,Georgia,29.7,26.1,54.9,59.0,16.3,15.4,9.0,7.4,1.2,1.1,193.5,183.8,5.7,5.0,70.5,62.2,24.0,24.5,40.8,36.2,9.7,7.8,1.4,1.8,191.5,143.7,4.7,4.0,3.64,2.57,1.5,2.1,0.615,8,384.9,327.5,43.0,39.8,5.5,5.3,2016,
KENTUCKY,sec,4,0.5,4,20.0,22.7,1.5,1.2,1.2,0.6,13,0.9,1.0,6,Kentucky,24.0,27.1,54.5,57.4,13.1,15.5,7.4,9.5,1.3,1.5,186.1,206.1,5.1,6.5,67.1,71.3,31.3,30.0,43.1,44.2,11.2,12.1,2.3,1.9,234.2,230.8,5.4,5.2,2.3,2.76,2.2,1.6,0.538,7,420.2,436.8,46.5,51.4,6.3,6.1,2016,
SOUTH-CAROLINA,sec,5,0.375,3,18.5,23.0,1.6,1.5,1.0,0.9,13,0.5,1.2,7,South Carolina,30.9,31.0,61.7,60.3,19.1,18.7,9.8,10.3,0.9,1.5,213.2,208.7,5.0,6.4,67.5,73.2,26.5,20.8,36.5,42.2,7.2,11.1,1.5,1.5,134.4,203.5,3.7,4.8,-0.91,2.01,1.5,2.1,0.462,6,347.5,412.2,46.6,56.2,5.2,5.6,2016,
VANDERBILT,sec,5,0.375,3,19.5,20.5,1.5,1.5,0.3,1.1,13,0.8,0.4,7,Vanderbilt,30.3,34.1,53.3,61.2,16.2,20.8,9.9,10.6,0.7,1.5,191.2,244.6,5.2,6.2,68.5,69.1,24.0,23.0,38.2,35.0,8.1,8.3,2.0,1.1,164.5,163.5,4.3,4.7,3.21,3.06,1.2,1.5,0.462,6,355.7,408.2,44.2,55.8,5.2,5.9,2016,
MISSOURI,sec,6,0.25,2,24.3,22.8,1.5,1.7,1.1,0.4,12,0.8,1.3,8,Missouri,37.3,34.8,55.6,57.7,20.8,20.1,10.8,11.1,2.1,1.4,295.4,246.8,6.7,6.3,79.0,79.0,31.5,31.4,41.7,44.2,12.0,10.0,2.0,2.3,205.1,233.3,4.9,5.3,-2.5,2.58,1.9,1.7,0.333,4,500.5,480.1,58.0,50.7,6.3,6.1,2016,
ALABAMA,sec,0,1.0,8,21.0,14.5,0.8,1.4,0.7,0.9,15,0.6,1.1,1,Alabama,27.8,33.8,63.5,53.8,17.7,18.2,8.1,8.3,1.7,1.0,210.3,197.9,5.7,3.9,70.4,65.5,13.0,38.8,42.6,31.7,12.1,4.7,2.2,0.3,245.0,63.9,5.8,2.0,25.62,7.29,1.3,1.9,0.933,14,455.3,261.8,44.0,31.4,6.5,4.0,2016,2.0
LOUISIANA-STATE,sec,3,0.625,5,19.6,16.0,1.3,1.3,0.8,0.7,12,0.6,0.8,4,LSU,24.8,30.3,58.4,53.3,14.5,16.2,8.3,8.3,1.0,0.8,190.1,197.2,4.8,5.3,63.0,66.1,15.8,28.3,38.2,35.8,10.0,6.4,2.5,0.6,233.1,117.3,6.1,3.3,15.93,5.85,1.4,1.4,0.667,8,423.2,314.4,41.0,41.8,6.7,4.8,2016,13.0
AUBURN,sec,3,0.625,5,21.9,19.2,1.2,1.4,0.6,0.5,13,0.5,0.8,5,Auburn,22.1,35.8,62.0,57.9,13.7,20.8,7.5,10.5,0.9,1.1,169.5,229.2,4.7,6.1,71.7,71.4,17.1,31.2,49.6,35.5,13.2,7.3,2.5,0.6,271.3,132.8,5.5,3.7,11.97,5.51,1.1,1.3,0.615,8,440.8,361.9,36.5,49.2,6.1,5.1,2016,24.0
TEXAS-AM,sec,4,0.5,4,21.6,23.5,1.2,2.4,0.9,0.9,13,0.7,0.9,5,Texas A&M,36.1,35.5,54.4,58.9,19.6,20.9,10.9,10.9,1.9,1.2,255.2,250.0,6.2,6.3,73.3,79.6,24.5,34.8,37.2,44.1,9.5,10.2,2.2,1.6,211.8,191.8,5.7,4.4,8.77,3.77,1.6,1.8,0.615,8,467.0,441.8,52.7,44.2,6.4,5.5,2016,
ARKANSAS,sec,5,0.375,3,22.3,19.2,1.7,0.8,0.8,0.8,13,1.2,0.8,6,Arkansas,31.2,28.5,60.8,58.9,19.0,16.8,11.5,9.5,2.0,0.9,264.2,221.2,6.2,4.4,70.9,63.0,31.1,30.3,39.7,34.5,8.9,8.8,1.6,3.0,164.4,206.3,4.1,6.0,4.35,4.35,1.9,1.6,0.538,7,428.5,427.5,51.9,41.2,6.0,6.8,2016,
MISSISSIPPI-STATE,sec,5,0.375,3,22.0,22.9,1.6,1.2,0.5,0.7,13,0.8,1.1,7,Mississippi State,31.6,36.3,56.0,61.7,17.7,22.4,9.5,13.2,1.8,2.5,209.7,281.5,5.2,5.2,72.2,73.5,31.8,30.4,40.6,37.2,10.9,8.5,1.8,1.3,231.2,177.8,5.7,4.8,1.68,2.76,1.2,1.8,0.462,6,440.8,459.3,47.5,43.2,6.1,6.3,2016,
MISSISSIPPI,sec,6,0.25,2,24.8,22.5,1.8,1.4,0.4,0.7,12,1.2,0.7,7,Ole Miss,40.3,29.2,59.8,58.9,24.1,17.2,14.8,9.7,2.3,1.3,314.9,214.9,4.9,6.8,75.4,74.6,34.0,32.6,35.2,45.4,8.3,11.4,1.4,2.6,149.4,246.4,4.2,5.4,4.74,5.83,1.6,1.3,0.417,5,464.3,461.3,43.3,57.6,6.2,6.2,2016,
APPALACHIAN-STATE,sun-belt,1,0.875,7,22.4,17.8,1.6,1.8,0.4,0.2,13,0.6,1.5,3,Appalachian State,25.7,34.2,60.8,57.4,15.6,19.6,8.8,9.6,1.2,0.9,179.0,203.8,6.1,5.9,69.2,66.0,17.8,29.2,43.5,31.8,12.0,6.4,2.2,1.2,256.9,125.5,5.9,3.9,8.83,-2.87,1.0,1.7,0.769,10,435.9,329.3,58.0,53.4,6.3,5.0,2016,
GEORGIA-SOUTHERN,sun-belt,4,0.5,4,20.7,21.2,1.8,2.1,0.8,0.8,12,0.8,0.8,7,Georgia Southern,22.0,29.6,55.7,59.2,12.3,17.5,7.3,9.7,1.1,1.3,155.7,229.5,7.6,5.1,72.2,66.3,26.5,26.6,50.2,36.7,11.6,9.4,2.0,1.8,224.8,170.6,4.5,4.7,-4.4,-2.4,1.5,1.6,0.417,5,380.4,400.1,64.8,51.4,5.3,6.0,2016,
ARKANSAS-STATE,sun-belt,1,0.875,7,19.8,19.3,1.2,2.2,0.6,0.8,13,0.7,0.8,5,Arkansas State,30.9,32.6,57.5,54.2,17.8,17.7,10.3,9.6,1.6,1.2,242.2,219.5,8.2,6.8,70.7,72.8,21.5,27.3,39.8,40.2,8.3,7.5,1.5,1.0,137.2,143.4,3.5,3.6,-0.56,-5.64,1.3,1.7,0.615,8,379.4,362.8,64.2,54.8,5.4,5.0,2016,
TROY,sun-belt,2,0.75,6,23.1,19.2,2.1,1.7,0.6,0.6,13,1.0,1.7,3,Troy,37.8,37.1,64.0,52.7,24.2,19.5,11.8,10.5,1.9,1.5,260.5,246.4,6.8,7.6,75.2,72.6,22.1,33.7,37.3,35.5,9.2,7.2,2.2,1.0,169.2,120.2,4.5,3.4,4.1,-4.67,1.6,2.3,0.769,10,429.6,366.5,61.8,62.8,5.7,5.0,2016,
IDAHO,sun-belt,2,0.75,6,21.6,22.4,1.9,2.2,0.5,0.8,13,0.8,1.3,4,Idaho,33.2,34.4,61.3,63.1,20.4,21.7,12.2,11.8,1.5,2.4,249.2,283.1,5.6,6.2,70.8,68.5,31.3,30.8,37.5,34.2,7.5,8.4,1.8,1.3,147.8,146.0,3.9,4.3,-1.19,-3.81,1.3,2.2,0.692,9,397.0,429.1,55.8,50.1,5.6,6.3,2016,
LOUISIANA-LAFAYETTE,sun-belt,3,0.625,5,19.6,20.4,1.7,1.2,0.3,0.6,13,1.0,0.8,7,Louisiana,26.4,33.8,59.5,61.7,15.7,20.8,7.6,12.0,0.9,1.4,178.2,249.9,7.2,6.2,71.3,71.4,25.3,23.6,44.9,37.6,10.3,7.2,1.6,1.4,179.4,129.6,4.0,3.4,-6.18,-4.95,1.3,1.4,0.462,6,357.6,379.5,58.2,53.0,5.0,5.3,2016,
