abbreviation,conference,conference_losses,conference_win_percentage,conference_wins,first_downs,opponents_first_downs,first_downs_from_penalties,opponents_first_downs_from_penalties,fumbles_lost,opponents_fumbles_lost,games,interceptions,opponents_interceptions,losses,name,pass_attempts,opponents_pass_attempts,pass_completion_percentage,opponents_pass_completion_percentage,pass_completions,opponents_pass_completions,pass_first_downs,opponents_pass_first_downs,pass_touchdowns,opponents_pass_touchdowns,pass_yards,opponents_pass_yards,penalties,opponents_penalties,plays,opponents_plays,points_against_per_game,points_per_game,rush_attempts,opponents_rush_attempts,rush_first_downs,opponents_rush_first_downs,rush_touchdowns,opponents_rush_touchdowns,rush_yards,opponents_rush_yards,rush_yards_per_attempt,opponents_rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,opponents_turnovers,win_percentage,wins,yards,opponents_yards,yards_from_penalties,opponents_yards_from_penalties,yards_per_play,opponents_yards_per_play,year,Rk
CINCINNATI,big-east,2,0.714,5,19.6,19.1,1.8,1.2,0.5,1.3,13,1.1,1.2,3,Cincinnati,30.2,37.2,56.9,60.2,17.2,22.4,8.8,11.4,1.5,1.3,207.2,261.2,5.2,7.8,68.6,72.2,20.3,33.3,38.5,35.1,9.0,6.5,2.2,0.8,178.5,96.2,4.6,2.7,7.34,-0.74,1.6,2.5,0.769,10,385.7,357.4,46.7,64.7,5.6,4.9,2011,25.0
WEST-VIRGINIA,big-east,2,0.714,5,23.2,18.5,1.8,1.4,1.0,0.7,13,0.7,1.1,3,West Virginia,41.7,34.5,65.1,56.9,27.2,19.6,14.4,9.9,2.5,1.2,346.8,203.5,6.2,6.7,73.8,70.8,26.8,37.6,32.1,36.3,7.0,7.2,1.9,1.6,122.7,144.8,3.8,4.0,8.65,0.96,1.7,1.8,0.769,10,469.5,348.2,53.6,55.6,6.4,4.9,2011,17.0
LOUISVILLE,big-east,2,0.714,5,16.5,17.7,0.4,1.4,0.7,0.8,13,1.0,0.8,6,Louisville,29.3,32.5,63.8,60.0,18.7,19.5,8.9,9.7,1.5,1.5,211.5,227.4,6.9,5.4,65.2,65.9,20.1,21.9,35.8,33.5,7.2,6.6,1.0,0.8,121.5,100.5,3.4,3.0,2.38,0.07,1.7,1.6,0.538,7,333.0,327.9,56.5,38.1,5.1,5.0,2011,
RUTGERS,big-east,3,0.571,4,19.7,15.4,2.2,1.2,0.9,1.2,13,1.2,1.5,4,Rutgers,36.5,27.3,53.9,51.8,19.7,14.2,11.4,7.2,1.6,0.6,241.2,172.3,6.8,6.6,72.0,63.9,18.3,26.4,35.5,36.6,6.2,7.0,1.1,1.3,97.8,141.8,2.8,3.9,6.42,-0.12,2.2,2.6,0.692,9,339.0,314.2,44.7,53.2,4.7,4.9,2011,
PITTSBURGH,big-east,3,0.571,4,19.9,19.5,1.3,1.5,0.6,1.0,13,1.1,0.6,7,Pitt,32.8,34.5,61.7,60.9,20.2,21.0,11.0,11.6,0.9,1.2,209.8,233.7,5.3,6.1,72.6,70.2,22.8,24.2,39.8,35.8,7.6,6.4,1.6,1.3,140.3,116.9,3.5,3.3,1.09,1.17,1.7,1.6,0.462,6,350.1,350.6,39.5,55.8,4.8,5.0,2011,
CONNECTICUT,big-east,4,0.429,3,17.3,17.9,1.7,1.0,1.2,1.1,12,0.8,1.5,7,Connecticut,29.9,35.8,50.7,57.8,15.2,20.7,9.0,11.3,1.2,1.8,194.7,281.0,5.3,8.0,68.8,67.8,24.3,24.3,38.8,32.1,6.7,5.7,1.1,0.9,118.5,85.7,3.1,2.7,-0.42,0.58,1.9,2.6,0.417,5,313.2,366.7,41.8,68.3,4.6,5.4,2011,
SOUTH-FLORIDA,big-east,6,0.143,1,24.3,19.6,1.8,1.8,1.1,1.2,12,0.9,1.0,7,South Florida,36.2,36.8,58.3,61.2,21.1,22.5,11.8,11.5,1.3,1.3,249.6,244.0,7.1,5.8,75.8,73.0,22.7,29.3,39.7,36.3,10.7,6.3,1.8,0.9,183.2,107.3,4.6,3.0,3.21,0.71,2.0,2.2,0.417,5,432.8,351.3,60.1,48.5,5.7,4.8,2011,
SYRACUSE,big-east,6,0.143,1,19.0,21.2,1.3,2.3,0.8,0.9,12,0.8,0.8,7,Syracuse,34.8,34.6,62.4,62.4,21.8,21.6,11.1,10.9,1.9,1.8,227.8,258.3,6.6,7.0,67.8,70.9,28.5,24.2,33.0,36.3,6.6,7.9,0.8,1.3,120.4,128.2,3.6,3.5,-3.15,1.02,1.6,1.8,0.417,5,348.2,386.4,62.8,58.9,5.1,5.4,2011,
WISCONSIN,big-ten,2,0.75,6,23.3,15.9,1.3,0.9,0.4,0.7,14,0.4,1.1,3,Wisconsin,23.4,25.1,71.0,60.8,16.6,15.3,10.3,7.7,2.4,1.1,234.3,163.6,4.8,5.5,66.9,60.7,19.0,44.1,43.5,35.6,11.7,7.2,3.4,1.2,235.6,152.8,5.4,4.3,15.89,0.68,0.7,1.9,0.786,11,469.9,316.4,38.9,47.1,7.0,5.2,2011,10.0
PENN-STATE,big-ten,2,0.75,6,18.3,17.7,1.2,1.1,1.0,0.9,13,0.9,1.1,4,Penn State,28.9,32.8,48.1,55.7,13.9,18.3,8.2,9.7,0.8,0.9,177.0,190.6,5.0,4.8,68.5,69.8,16.8,19.3,39.6,37.0,8.9,6.9,1.4,1.0,165.4,133.3,4.2,3.6,6.47,3.39,1.9,2.0,0.692,9,342.4,323.9,43.5,38.5,5.0,4.6,2011,
